Epoch 0: Train: 669/669, Loss = 0.6930, Acc = 0.5077
Valid: 168/168, Loss = 0.6926, Acc = 0.5225
Epoch 1: Train: 669/669, Loss = 0.6925, Acc = 0.5129
Valid: 168/168, Loss = 0.6921, Acc = 0.5360
Epoch 2: Train: 669/669, Loss = 0.6917, Acc = 0.5295
Valid: 168/168, Loss = 0.6913, Acc = 0.5476
Epoch 3: Train: 669/669, Loss = 0.6910, Acc = 0.5280
Valid: 168/168, Loss = 0.6904, Acc = 0.5165
Epoch 4: Train: 669/669, Loss = 0.6902, Acc = 0.5423
Valid: 168/168, Loss = 0.6896, Acc = 0.5212
Epoch 5: Train: 669/669, Loss = 0.6893, Acc = 0.5412
Valid: 168/168, Loss = 0.6892, Acc = 0.5364
Epoch 6: Train: 669/669, Loss = 0.6882, Acc = 0.5446
Valid: 168/168, Loss = 0.6866, Acc = 0.5612
Epoch 7: Train: 669/669, Loss = 0.6866, Acc = 0.5522
Valid: 168/168, Loss = 0.6893, Acc = 0.5167
Epoch 8: Train: 669/669, Loss = 0.6848, Acc = 0.5572
Valid: 168/168, Loss = 0.6855, Acc = 0.5494
Epoch 9: Train: 669/669, Loss = 0.6827, Acc = 0.5572
Valid: 168/168, Loss = 0.6808, Acc = 0.5752
